CATEGORY	NAME	EN_US	EN_GB	RU_RU	IT_IT	JA_JP	CS_CZ	TOK
block	crimson_toilet	Crimson Toilet		Багровый Унитаз			Karmínový záchod	
block	warped_toilet	Warped Toilet		Искажëнный Унитаз			Přízračný záchod	
block	stone_toilet	Stone Toilet		Каменный Унитаз			Kamenný záchod	
block	quartz_toilet	Quartz Toilet		Кварцевый Унитаз			Křemenný záchod	
block	deepslate_toilet	Deepslate Toilet		Глубинносланцевый Унитаз			Břidlicový záchod	
block	iron_toilet	Iron Toilet		Железный Унитаз			Železný záchod	
block	copper_toilet	Copper Toilet		Медный Унитаз			Měděný záchod	
block	gold_toilet	Golden Toilet		Золотой Унитаз			Zlatý záchod	
block	diamond_toilet	Diamond Toilet		Алмазный Унитаз			Diamantový záchod	
block	emerald_toilet	Emerald Toilet		Изумрудный Унитаз			Smaragdový záchod	
block	netherite_toilet	Netherite Toilet		Незеритовый Унитаз			Netheritový záchod	
block	oak_window_boards	Oak Window Boards		Дубовые Оконные доски			Dubová okenní prkna	
block	spruce_window_boards	Spruce Window Boards		Еловые Оконные доски			Smrková okenní prkna	
block	birch_window_boards	Birch Window Boards		Берëзовые Оконные доски			Březová okenní prkna	
block	jungle_window_boards	Jungle Window Boards		Оконные доски из тропического дерева			Okenní prkna z tropického dřeva	
block	acacia_window_boards	Acacia Window Boards		Акациевые Оконные доски			Akáciová okenní prkna	
block	bamboo_window_boards	Bamboo Window Boards		Оконные доски из бамбука			Bambusová okenní prkna	
block	dark_oak_window_boards	Dark Oak Window Boards		Оконные доски из тëмного дуба			Okenní prkna z tmavého dubu	
block	mangrove_window_boards	Mangrove Window Boards		Мангровые Оконные доски			Kořenovníková okenní prkna	
block	cherry_window_boards	Cherry Window Boards		Вишнёвые Оконные доски			Třešňová okenní prkna	
block	crimson_window_boards	Crimson Window Boards		Багровые Оконные доски			Karmínová okenní prkna	
block	warped_window_boards	Warped Window Boards		Искажëнные Оконные доски			Přízračná okenní prkna	
block	stone_window_boards	Stone Window Boards		Каменные Оконные доски			Kamenná okenní prkna	
block	quartz_window_boards	Quartz Window Boards		Кварцевые Оконные доски			Křemenná okenní prkna	
block	deepslate_window_boards	Deepslate Window Boards		Глубинносланцевые Оконные доски			Břidlicová okenní prkna	
block	iron_window_boards	Iron Window Boards		Железные Оконные доски			Železná okenní prkna	
block	copper_window_boards	Copper Window Boards		Медные Оконные доски			Měděná okenní prkna	
block	gold_window_boards	Golden Window Boards		Золотые Оконные доски			Zlatá okenní prkna	
block	diamond_window_boards	Diamond Window Boards		Алмазные Оконные доски			Diamantová okenní prkna	
block	emerald_window_boards	Emerald Window Boards		Изумрудные Оконные доски			Smaragdová okenní prkna	
block	netherite_window_boards	Netherite Window Boards		Незеритовые Оконные доски			Netheritová okenní prkna	
block	oak_ladder	Oak Ladder		Дубовая Лестница			Dubový žebřík	
block	spruce_ladder	Spruce Ladder		Еловая Лестница			Smrkový žebřík	
block	birch_ladder	Birch Ladder		Берëзовая Лестница			Březový žebřík	
block	jungle_ladder	Jungle Ladder		Лестница из тропического дерева			Žebřík z tropického dřeva	
block	acacia_ladder	Acacia Ladder		Акациевая Лестница			Akáciový žebřík	
block	bamboo_ladder	Bamboo Ladder		Лестница из бамбука			Bambusový žebřík	
block	dark_oak_ladder	Dark Oak Ladder		Лестница из тëмного дуба			Žebřík z tmavého dubu	
block	mangrove_ladder	Mangrove Ladder		Мангровая Лестница			Kořenovníkový žebřík	
block	cherry_ladder	Cherry Ladder		Вишнёвая Лестница			Třešňový žebřík	
block	crimson_ladder	Crimson Ladder		Багровая Лестница			Karmínový žebřík	
block	warped_ladder	Warped Ladder		Искажëнная Лестница			Přízračný žebřík	
block	stone_ladder	Stone Ladder		Каменная Лестница			Kamenný žebřík	
block	quartz_ladder	Quartz Ladder		Кварцевая Лестница			Křemenný žebřík	
block	deepslate_ladder	Deepslate Ladder		Глубинносланцевая Лестница			Břidlicový žebřík	
block	iron_ladder	Iron Ladder		Железная Лестница			Železný žebřík	
block	copper_ladder	Copper Ladder		Медная Лестница			Měděný žebřík	
block	gold_ladder	Golden Ladder		Золотая Лестница			Zlatý žebřík	
block	diamond_ladder	Diamond Ladder		Алмазная Лестница			Diamantový žebřík	
block	emerald_ladder	Emerald Ladder		Изумрудная Лестница			Smaragdový žebřík	
block	netherite_ladder	Netherite Ladder		Незеритовая Лестница			Netheritový žebřík	
block	white_padlock	White Padlock		Белый Навесной замок			Bílý visací zámek	ilo awen walo
block	orange_padlock	Orange Padlock		Оранжевый Навесной замок			Oranžový visací zámek	ilo awen pi loje jelo
block	magenta_padlock	Magenta Padlock		Пурпурный Навесной замок			Purpurový visací zámek	ilo awen pi loje laso
block	light_blue_padlock	Light Blue Padlock		Голубой Навесной замок			Světle modrý visací zámek	ilo awen pi laso sewi
block	yellow_padlock	Yellow Padlock		Жёлтый Навесной замок			Žlutý visací zámek	ilo awen jelo
block	lime_padlock	Lime Padlock		Лаймовый Навесной замок			Světle zelený visací zámek	ilo awen pi laso jelo
block	pink_padlock	Pink Padlock		Розовый Навесной замок			Růžový visací zámek	ilo awen pi loje walo
block	gray_padlock	Gray Padlock		Серый Навесной замок			Šedý visací zámek	ilo awen pi pimeja walo
block	light_gray_padlock	Light Gray Padlock		Светло-серый Навесной замок			Světle šedý visací zámek	ilo awen pi walo pimeja
block	cyan_padlock	Cyan Padlock		Бирюзовый Навесной замок			Azurový visací zámek	ilo awen laso
block	purple_padlock	Purple Padlock		Фиолетовый Навесной замок			Fialový visací zámek	ilo awen pi laso loje
block	blue_padlock	Blue Padlock		Синий Навесной замок			Modrý visací zámek	ilo awen pi laso telo
block	brown_padlock	Brown Padlock		Коричневый Навесной замок			Hnědý visací zámek	ilo awen pi kule ma
block	green_padlock	Green Padlock		Зелёный Навесной замок			Zelený visací zámek	ilo awen pi laso kasi
block	red_padlock	Red Padlock		Красный Навесной замок			Červený visací zámek	ilo awen loje
block	black_padlock	Black Padlock		Чёрный Навесной замок			Černý visací zámek	ilo awen pimeja
item	white_key	White Key		Белый Ключ			Bílý klíč	ilo open walo
item	orange_key	Orange Key		Оранжевый Ключ			Oranžový klíč	ilo open pi loje jelo
item	magenta_key	Magenta Key		Пурпурный Ключ			Purpurový klíč	ilo open pi loje laso
item	light_blue_key	Light Blue Key		Голубой Ключ			Světle modrý klíč	ilo open pi laso sewi
item	yellow_key	Yellow Key		Жёлтый Ключ		黄色の鍵	Žlutý klíč	ilo open jelo
item	lime_key	Lime Key		Лаймовый Ключ			Světle zelený klíč	ilo open pi laso jelo
item	pink_key	Pink Key		Розовый Ключ			Růžový klíč	ilo open pi loje walo
item	gray_key	Gray Key		Серый Ключ			Šedý klíč	ilo open pi pimeja walo
item	light_gray_key	Light Gray Key		Светло-серый Ключ			Světle šedý klíč	ilo open pi walo pimeja
item	cyan_key	Cyan Key		Бирюзовый Ключ			Azurový klíč	ilo open laso
item	purple_key	Purple Key		Фиолетовый Ключ			Fialový klíč	ilo open pi laso loje
item	blue_key	Blue Key		Синий Ключ		青色の鍵	Modrý klíč	ilo open pi laso telo
item	brown_key	Brown Key		Коричневый Ключ			Hnědý klíč	ilo open pi kule ma
item	green_key	Green Key		Зелёный Ключ		緑色の鍵	Zelený klíč	ilo open pi laso kasi
item	red_key	Red Key		Красный Ключ		赤色の鍵	Červený klíč	ilo open loje
item	black_key	Black Key		Чёрный Ключ			Černý klíč	ilo open pimeja
block	oak_rising_door	Oak Rising Door		Дубовая Поднимающаяся дверь			Dubové stoupající dveře	
block	spruce_rising_door	Spruce Rising Door		Еловая Поднимающаяся дверь			Smrkové stoupající dveře	
block	birch_rising_door	Birch Rising Door		Берëзовая Поднимающаяся дверь			Březové stoupající dveře	
block	jungle_rising_door	Jungle Rising Door		Поднимающаяся дверь из тропического дерева			Stoupající dveře z tropického dřeva	
block	acacia_rising_door	Acacia Rising Door		Акациевая Поднимающаяся дверь			Akáciové stoupající dveře	
block	bamboo_rising_door	Bamboo Rising Door		Поднимающаяся дверь из бамбука			Bambusové stoupající dveře	
block	dark_oak_rising_door	Dark Oak Rising Door		Поднимающаяся дверь из тëмного дуба			Stoupající dveře z tmavého dubu	
block	mangrove_rising_door	Mangrove Rising Door		Мангровая Поднимающаяся дверь			Kořenovníkové stoupající dveře	
block	cherry_rising_door	Cherry Rising Door		Вишнёвая Поднимающаяся дверь			Třešňové stoupající dveře	
block	crimson_rising_door	Crimson Rising Door		Багровая Поднимающаяся дверь			Karmínové stoupající dveře	
block	warped_rising_door	Warped Rising Door		Искажëнная Поднимающаяся дверь			Přízračné stoupající dveře	
block	stone_rising_door	Stone Rising Door		Каменная Поднимающаяся дверь			Kamenné stoupající dveře	
block	quartz_rising_door	Quartz Rising Door		Кварцевая Поднимающаяся дверь			Křemenné stoupající dveře	
block	deepslate_rising_door	Deepslate Rising Door		Глубинносланцевая Поднимающаяся дверь			Břidlicové stoupající dveře	
block	iron_rising_door	Iron Rising Door		Железная Поднимающаяся дверь			Železné stoupající dveře	
block	copper_rising_door	Copper Rising Door		Медная Поднимающаяся дверь			Měděné stoupající dveře	
block	gold_rising_door	Golden Rising Door		Золотая Поднимающаяся дверь			Zlaté stoupající dveře	
block	diamond_rising_door	Diamond Rising Door		Алмазная Поднимающаяся дверь			Diamantové stoupající dveře	
block	emerald_rising_door	Emerald Rising Door		Изумрудная Поднимающаяся дверь			Smaragdové stoupající dveře	
block	netherite_rising_door	Netherite Rising Door		Незеритовая Поднимающаяся дверь			Netheritové stoupající dveře	
block	white_table_lamp	White Table Lamp		Белая Лампа			Bíla stolní lampa	ilo suno supa walo
block	orange_table_lamp	Orange Table Lamp		Оранжевая Лампа			Oranžová stolní lampa	ilo suno supa pi loje jelo
block	magenta_table_lamp	Magenta Table Lamp		Пурпурная Лампа			Světle modrá stolní lampa	ilo suno supa pi loje laso
block	light_blue_table_lamp	Light Blue Table Lamp		Голубая Лампа			Purpurová stolní lampa	ilo suno supa pi laso sewi
block	yellow_table_lamp	Yellow Table Lamp		Жёлтая Лампа			Žlutá stolní lampa	ilo suno supa jelo
block	lime_table_lamp	Lime Table Lamp		Лаймовая Лампа			Světle zelená stolní lampa	ilo suno supa pi laso jelo
block	pink_table_lamp	Pink Table Lamp		Розовая Лампа			Růžová stolní lampa	ilo suno supa pi loje walo
block	gray_table_lamp	Gray Table Lamp		Серая Лампа			Šedá stolní lampa	ilo suno supa pi pimeja walo
block	light_gray_table_lamp	Light Gray Table Lamp		Светло-серая Лампа			Světle šedá stolní lampa	ilo suno supa pi walo pimeja
block	cyan_table_lamp	Cyan Table Lamp		Бирюзовая Лампа			Azurová stolní lampa	ilo suno supa laso
block	purple_table_lamp	Purple Table Lamp		Фиолетовая Лампа			Fialová stolní lampa	ilo suno supa pi laso loje
block	blue_table_lamp	Blue Table Lamp		Синяя Лампа			Modrá stolní lampa	ilo suno supa pi laso telo
block	brown_table_lamp	Brown Table Lamp		Коричневая Лампа			Hnědá stolní lampa	ilo suno supa pi kule ma
block	green_table_lamp	Green Table Lamp		Зелёная Лампа			Zelená stolní lampa	ilo suno supa pi laso kasi
block	red_table_lamp	Red Table Lamp		Красная Лампа			Červená stolní lampa	ilo suno supa loje
block	black_table_lamp	Black Table Lamp		Чёрная Лампа			Černá stolní lampa	ilo suno supa pimeja
block	oak_street_light	Oak Street Light		Дубовый Уличный фонарь			Dubová pouliční lampa	
block	spruce_street_light	Spruce Street Light		Еловый Уличный фонарь			Smrková pouliční lampa	
block	birch_street_light	Birch Street Light		Берëзовый Уличный фонарь			Březová pouliční lampa	
block	jungle_street_light	Jungle Street Light		Уличный фонарь из тропического дерева			Pouliční lampa z tropického dřeva	
block	acacia_street_light	Acacia Street Light		Акациевый Уличный фонарь			Akáciová pouliční lampa	
block	bamboo_street_light	Bamboo Street Light		Уличный фонарь из бамбука			bambusová pouliční lampa	
block	dark_oak_street_light	Dark Oak Street Light		Уличный фонарь из тëмного дуба			Pouliční lampa z tmavého dubu	
block	mangrove_street_light	Mangrove Street Light		Мангровый Уличный фонарь			Kořenovníková pouliční lampa	
block	cherry_street_light	Cherry Street Light		Вишнёвый Уличный фонарь			Třešňová pouliční lampa	
block	crimson_street_light	Crimson Street Light		Багровый Уличный фонарь			Karmínová pouliční lampa	
block	warped_street_light	Warped Street Light		Искажëнный Уличный фонарь			Přízračná pouliční lampa	
block	stone_street_light	Stone Street Light		Каменный Уличный фонарь			Kamenná pouliční lampa	
block	quartz_street_light	Quartz Street Light		Кварцевый Уличный фонарь			Křemenná pouliční lampa	
block	deepslate_street_light	Deepslate Street Light		Глубинносланцевый Уличный фонарь			Břidlicová pouliční lampa	
block	iron_street_light	Iron Street Light		Железный Уличный фонарь			Železná pouliční lampa	
block	copper_street_light	Copper Street Light		Медный Уличный фонарь			Měděná pouliční lampa	
block	gold_street_light	Golden Street Light		Золотой Уличный фонарь			Zlatá pouliční lampa	
block	diamond_street_light	Diamond Street Light		Алмазный Уличный фонарь			Diamantová pouliční lampa	
block	emerald_street_light	Emerald Street Light		Изумрудный Уличный фонарь			Smaragdová pouliční lampa	
block	netherite_street_light	Netherite Street Light		Незеритовый Уличный фонарь			Netheritová pouliční lampa	
block	white_desk_lamp	White Desk Lamp		Белая Настольная лампа			Bíla stolní lampička	ilo suno pali walo
block	orange_desk_lamp	Orange Desk Lamp		Оранжевая Настольная лампа			Oranžová stolní lampička	ilo suno pali pi loje jelo
block	magenta_desk_lamp	Magenta Desk Lamp		Пурпурная Настольная лампа			Světle modrá stolní lampička	ilo suno pali pi loje laso
block	light_blue_desk_lamp	Light Blue Desk Lamp		Голубая Настольная лампа			Purpurová stolní lampička	ilo suno pali pi laso sewi
block	yellow_desk_lamp	Yellow Desk Lamp		Жёлтая Настольная лампа			Žlutá stolní lampička	ilo suno pali jelo
block	lime_desk_lamp	Lime Desk Lamp		Лаймовая Настольная лампа			Světle zelená stolní lampička	ilo suno pali pi laso jelo
block	pink_desk_lamp	Pink Desk Lamp		Розовая Настольная лампа			Růžová stolní lampička	ilo suno pali pi loje walo
block	gray_desk_lamp	Gray Desk Lamp		Серая Настольная лампа			Šedá stolní lampička	ilo suno pali pi pimeja walo
block	light_gray_desk_lamp	Light Gray Desk Lamp		Светло-серая Настольная лампа			Světle šedá stolní lampička	ilo suno pali pi walo pimeja
block	cyan_desk_lamp	Cyan Desk Lamp		Бирюзовая Настольная лампа			Azurová stolní lampička	ilo suno pali laso
block	purple_desk_lamp	Purple Desk Lamp		Фиолетовая Настольная лампа			Fialová stolní lampička	ilo suno pali pi laso loje
block	blue_desk_lamp	Blue Desk Lamp		Синяя Настольная лампа			Modrá stolní lampička	ilo suno pali pi laso telo
block	brown_desk_lamp	Brown Desk Lamp		Коричневая Настольная лампа			Hnědá stolní lampička	ilo suno pali pi kule ma
block	green_desk_lamp	Green Desk Lamp		Зелёная Настольная лампа			Zelená stolní lampička	ilo suno pali pi laso kasi
block	red_desk_lamp	Red Desk Lamp		Красная Настольная лампа			Červená stolní lampička	ilo suno pali loje
block	black_desk_lamp	Black Desk Lamp		Чёрная Настольная лампа			Černá stolní lampička	ilo suno pali pimeja
block	oak_upholstery_couch	Oak Upholstery Couch		Дубовый Диван с обивкой			Dubová čalouněná pohovka	
block	spruce_upholstery_couch	Spruce Upholstery Couch		Еловый Диван с обивкой			Smrková čalouněná pohovka	
block	birch_upholstery_couch	Birch Upholstery Couch		Берëзовый Диван с обивкой			Březová čalouněná pohovka	
block	jungle_upholstery_couch	Jungle Upholstery Couch		Диван с обивкой из тропического дерева			Čalouněná pohovka z tropického dřeva	
block	acacia_upholstery_couch	Acacia Upholstery Couch		Акациевый Диван с обивкой			Akáciová čalouněná pohovka	
block	bamboo_upholstery_couch	Bamboo Upholstery Couch		Диван с обивкой из бамбука			Bambusová čalouněná pohovka	
block	dark_oak_upholstery_couch	Dark Oak Upholstery Couch		Диван с обивкой из тëмного дуба			Čalouněná pohovka z tmavého dubu	
block	mangrove_upholstery_couch	Mangrove Upholstery Couch		Мангровый Диван с обивкой			Kořenovníková čalouněná pohovka	
block	cherry_upholstery_couch	Cherry Upholstery Couch		Вишнёвый Диван с обивкой			Třešňová čalouněná pohovka	
block	crimson_upholstery_couch	Crimson Upholstery Couch		Багровый Диван с обивкой			Karmínová čalouněná pohovka	
block	warped_upholstery_couch	Warped Upholstery Couch		Искажëнный Диван с обивкой			Přízračná čalouněná pohovka	
block	white_floor_lamp	White Floor Lamp		Белый Торшер			Bíla stojací lampa	ilo suno ma walo
block	orange_floor_lamp	Orange Floor Lamp		Оранжевый Торшер			Oranžová stojací lampa	ilo suno ma pi loje jelo
block	magenta_floor_lamp	Magenta Floor Lamp		Пурпурный Торшер			Světle modrá stojací lampa	ilo suno ma pi loje laso
block	light_blue_floor_lamp	Light Blue Floor Lamp		Голубой Торшер			Purpurová stojací lampa	ilo suno ma pi laso sewi
block	yellow_floor_lamp	Yellow Floor Lamp		Жёлтая Торшер			Žlutá stojací lampa	ilo suno ma jelo
block	lime_floor_lamp	Lime Floor Lamp		Лаймовый Торшер			Světle zelená stojací lampa	ilo suno ma pi laso jelo
block	pink_floor_lamp	Pink Floor Lamp		Розовый Торшер			Růžová stojací lampa	ilo suno ma pi loje walo
block	gray_floor_lamp	Gray Floor Lamp		Серый Торшер			Šedá stojací lampa	ilo suno ma pi pimeja walo
block	light_gray_floor_lamp	Light Gray Floor Lamp		Светло-серый Торшер			Světle šedá stojací lampa	ilo suno ma pi walo pimeja
block	cyan_floor_lamp	Cyan Floor Lamp		Бирюзовый Торшер			Azurová stojací lampa	ilo suno ma laso
block	purple_floor_lamp	Purple Floor Lamp		Фиолетовый Торшер			Fialová stojací lampa	ilo suno ma pi laso loje
block	blue_floor_lamp	Blue Floor Lamp		Синий Торшер			Modrá stojací lampa	ilo suno ma pi laso telo
block	brown_floor_lamp	Brown Floor Lamp		Коричневый Торшер			Hnědá stojací lampa	ilo suno ma pi kule ma
block	green_floor_lamp	Green Floor Lamp		Зелёный Торшер			Zelená stojací lampa	ilo suno ma pi laso kasi
block	red_floor_lamp	Red Floor Lamp		Красный Торшер			Červená stojací lampa	ilo suno ma loje
block	black_floor_lamp	Black Floor Lamp		Чёрный Торшер			Černá stojací lampa	ilo suno ma pimeja
block	white_cup	White Cup		Белая Чашка			Bílý hrníček	poki telo walo
block	orange_cup	Orange Cup		Оранжевая Чашка			Oranžový hrníček	poki telo pi loje jelo
block	magenta_cup	Magenta Cup		Пурпурная Чашка			Purpurový hrníček	poki telo pi loje laso
block	light_blue_cup	Light Blue Cup		Голубая Чашка			Světle modrý hrníček	poki telo pi laso sewi
block	yellow_cup	Yellow Cup		Жёлтая Чашка			Žlutý hrníček	poki telo jelo
block	lime_cup	Lime Cup		Лаймовая Чашка			Světle zelený hrníček	poki telo pi laso jelo
block	pink_cup	Pink Cup		Розовая Чашка			Růžový hrníček	poki telo pi loje walo
block	gray_cup	Gray Cup		Серая Чашка			Šedý hrníček	poki telo pi pimeja walo
block	light_gray_cup	Light Gray Cup		Светло-серая Чашка			Světle šedý hrníček	poki telo pi walo pimeja
block	cyan_cup	Cyan Cup		Бирюзовая Чашка			Azurový hrníček	poki telo laso
block	purple_cup	Purple Cup		Фиолетовая Чашка			Fialový hrníček	poki telo pi laso loje
block	blue_cup	Blue Cup		Синяя Чашка			Modrý hrníček	poki telo pi laso telo
block	brown_cup	Brown Cup		Коричневая Чашка			Hnědý hrníček	poki telo pi kule ma
block	green_cup	Green Cup		Зелёная Чашка			Zelený hrníček	poki telo pi laso kasi
block	red_cup	Red Cup		Красная Чашка			Červený hrníček	poki telo loje
block	black_cup	Black Cup		Чёрная Чашка			Černý hrníček	poki telo pimeja
item	white_beer_bottle	White Beer Bottle		Белая Пивная бутылка			Bílá lahev piva	poki walo pi telo nasa
item	orange_beer_bottle	Orange Beer Bottle		Оранжевая Пивная бутылка			Oranžová lahev piva	poki pi loje jelo pi telo nasa
item	magenta_beer_bottle	Magenta Beer Bottle		Пурпурная Пивная бутылка			Purpurová lahev piva	poki pi loje laso pi telo nasa
item	light_blue_beer_bottle	Light Blue Beer Bottle		Голубая Пивная бутылка			Světle modrá lahe piva	poki pi laso sewi pi telo nasa
item	yellow_beer_bottle	Yellow Beer Bottle		Жёлтая Пивная бутылка			Žlutá lahev piva	poki jelo pi telo nasa
item	lime_beer_bottle	Lime Beer Bottle		Лаймовая Пивная бутылка			Světle zelená lahev piva	poki pi laso jelo pi telo nasa
item	pink_beer_bottle	Pink Beer Bottle		Розовая Пивная бутылка			Růžová lahev piva	poki pi loje walo pi telo nasa
item	gray_beer_bottle	Gray Beer Bottle		Серая Пивная бутылка			Šedá lahev piva	poki pi pimeja walo pi telo nasa
item	light_gray_beer_bottle	Light Gray Beer Bottle		Светло-серая Пивная бутылка			Světle šedá lahev piva	poki pi walo pimeja pi telo nasa
item	cyan_beer_bottle	Cyan Beer Bottle		Бирюзовая Пивная бутылка			Azurová lahev piva	poki laso pi telo nasa
item	purple_beer_bottle	Purple Beer Bottle		Фиолетовая Пивная бутылка			Fialová lahev piva	poki pi laso loje pi telo nasa
item	blue_beer_bottle	Blue Beer Bottle		Синяя Пивная бутылка			Modrá lahev piva	poki pi laso telo pi telo nasa
item	brown_beer_bottle	Brown Beer Bottle		Коричневая Пивная бутылка			Hnědá lahev piva	poki pi kule ma pi telo nasa
item	green_beer_bottle	Green Beer Bottle		Зелёная Пивная бутылка			Zelená lahev piva	poki pi laso kasi pi telo nasa
item	red_beer_bottle	Red Beer Bottle		Красная Пивная бутылка			Červená lahev piva	poki loje pi telo nasa
item	black_beer_bottle	Black Beer Bottle		Чёрная Пивная бутылка			Černá lahev piva	poki pimeja pi telo nasa
block	fridge	Fridge	Refrigerator	Холодильник		冷蔵庫	Lednice	poki lete
block	washer	Washer	Washing Machine	Стиральная Машина		洗濯機	Pračka	ilo telo
block	trashcan	Trashcan		Мусорник		ゴミ箱	Odpadkový koš	poki jaki
block	pipe	Pipe		Труба			Trubka	palisa kiwen
block	radiator	Radiator		Радиатор			Radiátor	ilo seli
block	curtains	Curtains		Занавески			Závěsy	ilo pi weka suno
block	surveillance_camera	Surveillance Camera		Камера видеонаблюдения		監視カメラ	Bezpečnostní kamera	ilo lukin
block	security_monitor	Security Monitor		Охранный монитор		カメラターミナル	Bezpečnostní monitor	ilo sitelen
block	hatch	Hatch		Люк			Poklop	lupa anpa
block	traffic_barrier	Traffic Barrier		Дорожный барьер			Dopravní zábrana	ilo awen pi tomo tawa
block	mossy_traffic_barrier	Mossy Traffic Barrier		Моховой дорожный барьер			Dopravní zábrana porostlá mechem	ilo awen kasi pi tomo tawa
block	pole	Pole		Столб			Sloupek	palisa sitelen
block	no_entrance_road_sign	No-Entrance Road Sign		Дорожный знак "Въезд запрещен"			Dopravní značka zákazu vjezdu	sitelen pi tomo tawa: o tawa ala
block	park_road_sign	Park Road Sign		Дорожный знак "Парковка"			Dopravní značka parkování	sitelen pi tomo tawa: ken awen
block	arrow_down_road_sign	Arrow-down Road Sign		Дорожный знак со стрелкой вниз			Dopravní značka se šipkou dolů	sitelen pi tomo tawa: linja anpa
block	arrow_up_road_sign	Arrow-up Road Sign		Дорожный знак со стрелкой вверх			Dopravní značka se šipkou nahoru	sitelen pi tomo tawa: linja sewi
block	arrow_left_road_sign	Arrow-left Road Sign		Дорожный знак со стрелкой влево			Dopravní značka se šipkou doleva	sitelen pi tomo tawa: linja pi poka wan
block	arrow_right_road_sign	Arrow-right Road Sign		Дорожный знак со стрелкой вправо			Dopravní značka se šipkou doprava	sitelen pi tomo tawa: linja pi poka tu
block	call_bell	Call Bell		Звонок			Zvonek	ilo kalama lili
block	box	Box		Коробка		箱	Krabice	poki kasi
block	keypad_lock	Keypad Lock		PIN-Код замок		パスワードロック	Kódový zámek	ilo awen nanpa
block	retina_scanner	Retina Scanner		Сканер сетчатки глаза		虹彩認証センサー	Skener sítnice	ilo pi sona oko
block	item_scanner	Item Scanner		Сканер предметов		アイテムリーダー	Skener předmětů	ilo pi sona ijo
block	vending_machine	Vending Machine		Торговый автомат			Automat	ilo mani
block	computer	Computer		Компьютер			Počítač	ilo sona
block	speakers	Speakers		Колонки			Reproduktory	ilo pi kalama wawa
block	plate	Plate		Тарелка			Talíř	supa moku
block	alarm_clock	Alarm Clock		Будильник			Budík	ilo tenpo
block	alarm_block	Security Alarm Block		Сигнализация			Bezpečnostní budík	ilo tenpo awen
block	laser_block	Laser Block		Лазерный блок			Laserový blok	ilo pi sona jan
block	bear_trap	Bear Trap		Медвежий капкан			Medvědí past	ilo alasa pi soweli suli
block	motion_sensor	Motion Sensor		Датчик движения			Snímač pohybu	ilo pi sona tawa
block	calculator	Calculator		Калькулятор			Kalkulačka	ilo nanpa
block	clipboard	Clipboard		Планшет			Psací podložka	supa lili sitelen
block	electrical_box	Electrical Box		Электрический ящик			Elektrická skříň	poki wawa
block	safe_block	Safe Block		Сейф			Trezor	poki mani
item	padlock	Padlock		Навесной замок		南京錠	Visací zámek	ilo awen
item	coffee_cup	Coffee Cup		Чашка с Кофе		コーヒー	Šálek kávy	telo pi lape ala
item	cucumber	Cucumber		Огурец			Okurka	kili palisa laso
item	grapes	Grapes		Виноград			Hroznové víno	kili sike laso
item	burger	Burger		Бургер		バーガー	Burger	pan pi insa soweli
item	toast	Toast		Тост			Toast	pan seli
item	tomato	Tomato		Помидор			Rajče	kili sike loje
item	cheese	Cheese		Сыр		チーズ	Sýr	moku pi telo walo soweli
item	chocolate_bar	Chocolate bar		Шоколадная плитка		チョコレート	Tabulka čokolády	suwi pi kule ma
item	donut	Donut		Пончик		ドーナツ	Kobliha	suwi sike
item	broccoli	Broccoli		Брокколи			Brokolice	kili pi kasi lukin
item	omelette	Omelette		Яичница			Omeleta	sike mama pakala
item	strawberry	Strawberry		Клубника			Jahoda	kili loje suwi
item	cereal	Cereal		Хлопья			Cereálie	pan lili
item	megaphone	Loudspeaker		Громкоговоритель			Megafon	ilo pi toki wawa
item	flashlight	Flashlight		Фонарь			Svítilna	ilo suno
item	crowbar	Crowbar		Лом			Páčidlo	palisa pakala
item	nanoglasses	Nanoglasses		Наноочки			Nanobrýle	ilo lukin pi ijo lili
item	battery	Battery		Батарейка			Baterie	wawa
item	umbrella	Umbrella		Зонт			Deštník	ilo awen tan telo sewi
item	spades_two_playing_card	Spades Two 		Пиковая двойка			Piková dvojka	lipu musi pi utala tu
item	spades_three_playing_card	Spades Three 		Пиковая тройка			Piková trojka	lipu musi pi utala tu wan
item	spades_four_playing_card	Spades Four 		Пиковая четверка			Piková čtyřka	lipu musi pi utala tu tu
item	spades_five_playing_card	Spades Five 		Пиковая пятерка			Piková pětka	lipu musi pi utala luka
item	spades_six_playing_card	Spades Six 		Пиковая шестерка			Piková šestka	lipu musi pi utala luka wan
item	spades_seven_playing_card	Spades Seven 		Пиковая семерка			Piková sedmička	lipu musi pi utala luka tu
item	spades_eight_playing_card	Spades Eight 		Пиковая восьмерка			Piková osmička	lipu musi pi utala luka tu wan
item	spades_nine_playing_card	Spades Nine 		Пиковая девятка			Piková devítka	lipu musi pi utala luka tu tu
item	spades_ten_playing_card	Spades Ten 		Пиковая десятка			Piková desítka	lipu musi pi utala luka luka
item	spades_jack_playing_card	Spades Jack 		Пиковый валет			Pikový spodek	lipu musi pi utala jan
item	spades_queen_playing_card	Spades Queen 		Пиковая дама			Piková královna	lipu musi pi utala meli
item	spades_king_playing_card	Spades King 		Пиковый король			Pikový král	lipu musi pi utala mije
item	spades_ace_playing_card	Spades Ace 		Пиковый туз			Pikové eso	lipu musi pi utala wawa
item	clubs_two_playing_card	Clubs Two 		Трефовая двойка			Křížová dvojka	lipu musi pi utala tu
