Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13
block	oak_barstool	Oak Bar Stool		Дубовый Барный стул	Sgabello da bar di quercia		Dubová barová stolička		Eichenholzbarhocker	Piso de Bar de Roble	Taburete de Barra de Roble	Taburete de Bar de Roble
block	spruce_barstool	Spruce Bar Stool		Еловый Барный стул	Sgabello da bar di abete		Smrková barová stolička		Fichtenholzbarhocker	Piso de Bar de Abeto	Taburete de Barra de Abeto	Taburete de Bar de Abeto
block	birch_barstool	Birch Bar Stool		Берëзовый Барный стул	Sgabello da bar di betulla		Březová barová stolička		Birkenholzbarhocker	Piso de Bar de Abedul	Taburete de Barra de Abedul	Taburete de Bar de Abedul
block	jungle_barstool	Jungle Bar Stool		Барный стул из тропического дерева	Sgabello da bar della giungla		Barová stolička z tropického dřeva		Tropenholzbarhocker	Piso de Bar Jungla	Taburete de Barra Jungla	Taburete de Bar Jungla
block	acacia_barstool	Acacia Bar Stool		Акациевый Барный стул	Sgabello da bar di acacia		Akáciová barová stolička		Akazienholzbarhocker	Piso de Bar de Acacia	Taburete de Barra de Acacia	Taburete de Bar de Acacia
block	bamboo_barstool	Bamboo Bar Stool		Барный стул из бамбука	Sgabello da bar di bambù		Bambusová barová stolička		Bambusbarhocker	Piso de Bar de Bambú	Taburete de Barra de Bambú	Taburete de Bar de Bambú
block	dark_oak_barstool	Dark Oak Bar Stool		Барный стул из тëмного дуба	Sgabello da bar di quercia scura		Barová stolička z tmavého dubu		Schwarzeichenholzbarhocker	Piso de Bar de Roble Oscuro	Taburete de Barra de Roble Oscuro	Taburete de Bar de Roble Oscuro
block	mangrove_barstool	Mangrove Bar Stool		Мангровый Барный стул	Sgabello da bar di mangrovia		Kořenovníková barová stolička		Mangrovenholzbarhocker	Piso de Bar de Mangle	Taburete de Barra de Mangle	Taburete de Bar de Mangle
block	cherry_barstool	Cherry Bar Stool		Вишнёвый Барный стул	Sgabello da bar di ciliegio		Třešňová barová stolička		Kirschholzbarhocker	Piso de Bar de Cereza	Taburete de Barra de Cereza	Taburete de Bar de Cereza
block	crimson_barstool	Crimson Bar Stool		Багровый Барный стул	Sgabello da bar cremisi		Karmínová barová stolička		Karmesinbarhocker	Piso de Bar Carmesí	Taburete de Barra Carmesí	Taburete de Bar Carmesí
block	warped_barstool	Warped Bar Stool		Искажëнный Барный стул	Sgabello da bar distorto		Přízračná barová stolička		Wirrbarhocker	Piso de Bar Distorsionado	Taburete de Barra Distorsionado	Taburete de Bar Distorsionado
block	stone_barstool	Stone Bar Stool		Каменный Барный стул	Sgabello da bar di pietra		Kamenná barová stolička		Steinbarhocker	Piso de Bar de Piedra	Taburete de Barra de Piedra	Taburete de Bar de Piedra
block	quartz_barstool	Quartz Bar Stool		Кварцевый Барный стул	Sgabello da bar di quarzo		Křemenná barová stolička		Quarzbarhocker	Piso de Bar de Cuarzo	Taburete de Barra de Cuarzo	Taburete de Bar de Cuarzo
block	oak_dinning_chair	Oak Dinning Chair		Дубовый Обеденный стул	Sedia di quercia		Dubová jídelní židle		Eichenholz-Essstuhl	Silla de Comedor de Roble	Silla de Comedor de Roble	Silla de Comedor de Roble
block	spruce_dinning_chair	Spruce Dinning Chair		Еловый Обеденный стул	Sedia di abete		Smrková jídelní židle		Fichtenholz-Essstuhl	Silla de Comedor de Abeto	Silla de Comedor de Abeto	Silla de Comedor de Abeto
block	birch_dinning_chair	Birch Dinning Chair		Берëзовый Обеденный стул	Sedia di betulla		Březová jídelní židle		Birkenholz-Essstuhl	Silla de Comedor de Abedul	Silla de Comedor de Abedul	Silla de Comedor de Abedul
block	jungle_dinning_chair	Jungle Dinning Chair		Обеденный стул из тропического дерева	Sedia della giungla		Jídelní židle z tropického dřeva		Tropenholz-Essstuhl	Silla de Comedor Jungla	Silla de Comedor Jungla	Silla de Comedor Jungla
block	acacia_dinning_chair	Acacia Dinning Chair		Акациевый Обеденный стул	Sedia di acacia		Akáciová jídelní židle		Akazienholz-Essstuhl	Silla de Comedor de Acacia	Silla de Comedor de Acacia	Silla de Comedor de Acacia
block	bamboo_dinning_chair	Bamboo Dinning Chair		Обеденный стул из бамбука	Sedia di bambù		Bambusová jídelní židle		Bambus-Essstuhl	Silla de Comedor de Bambú	Silla de Comedor de Bambú	Silla de Comedor de Bambú
block	dark_oak_dinning_chair	Dark Oak Dinning Chair		Обеденный стул из тëмного дуба	Sedia di quercia scura		Jídelní židle z tmavého dubu		Schwarzeichenholz-Essstuhl	Silla de Comedor de Roble Oscuro	Silla de Comedor de Roble Oscuro	Silla de Comedor de Roble Oscuro
block	mangrove_dinning_chair	Mangrove Dinning Chair		Мангровый Обеденный стул	Sedia di mangrovia		Kořenovníková jídelní židle		Mangrovenholz-Essstuhl	Silla de Comedor de Mangle	Silla de Comedor de Mangle	Silla de Comedor de Mangle
block	cherry_dinning_chair	Cherry Dinning Chair		Вишнёвый Обеденный стул	Sedia di ciliegio		Třešňová jídelní židle		Kirschholz-Essstuhl	Silla de Comedor de Cereza	Silla de Comedor de Cereza	Silla de Comedor de Cereza
block	crimson_dinning_chair	Crimson Dinning Chair		Багровый Обеденный стул	Sedia cremisi		Karmínová jídelní židle		Karmesin-Essstuhl	Silla de Comedor Carmesí	Silla de Comedor Carmesí	Silla de Comedor Carmesí
block	warped_dinning_chair	Warped Dinning Chair		Искажëнный Обеденный стул	Sedia distorta		Přízračná jídelní židle		Wirr-Essstuhl	Silla de Comedor Distorsionada	Silla de Comedor Distorsionada	Silla de Comedor Distorsionada
block	white_couch	White Couch	White Sofa	Белый Диван	Divano bianco	白色の二人掛けソファー	Bílá pohovka	supa monsi len walo	Weißes Sofa	Sofá Blanco	Sofá Blanco	Sofá Blanco
block	orange_couch	Orange Couch	Orange Sofa	Оранжевый Диван	Divano arancione	橙色の二人掛けソファー	Oranžová pohovka	supa monsi len pi loje jelo	Orangenes Sofa	Sofá Naranja	Sofá Naranja	Sofá Naranja
block	magenta_couch	Magenta Couch	Magenta Sofa	Пурпурный Диван	Divano magenta	赤紫色の二人掛けソファー	Purpurová pohovka	supa monsi len pi loje laso	Magenta Sofa	Sofá Magenta	Sofá Magenta	Sofá Magenta
block	light_blue_couch	Light Blue Couch	Light Blue Sofa	Голубой Диван	Divano azzurro	空色の二人掛けソファー	Světle modrá pohovka	supa monsi len pi laso sewi	Hellblaues Sofa	Sofá Celeste	Sofá Azul Claro	Sofá Azul Claro
block	yellow_couch	Yellow Couch	Yellow Sofa	Жёлтый Диван	Divano giallo	黄色の二人掛けソファー	Žlutá pohovka	supa monsi len jelo	Gelbes Sofa	Sofá Amarillo	Sofá Amarillo	Sofá Amarillo
block	lime_couch	Lime Couch	Lime Sofa	Лаймовый Диван	Divano lime	黄緑色の二人掛けソファー	Světle zelená pohovka	supa monsi len pi laso jelo	Hellgrünes Sofa	Sofá Verde Lima	Sofá Lima	Sofá Lima
block	pink_couch	Pink Couch	Pink Sofa	Розовый Диван	Divano rosa	桃色の二人掛けソファー	Růžová pohovka	supa monsi len pi loje walo	Rosa Sofa	Sofá Rosado	Sofá Rosa	Sofá Rosa
block	gray_couch	Gray Couch	Gray Sofa	Серый Диван	Divano grigio	灰色の二人掛けソファー	Šedá pohovka	supa monsi len pi pimeja walo	Graues Sofa	Sofá Gris	Sofá Gris	Sofá Gris
block	light_gray_couch	Light Gray Couch	Light Gray Sofa	Светло-серый Диван	Divano grigio chiaro	薄灰色の二人掛けソファー	Světle šedá pohovka	supa monsi len pi walo pimeja	Hellgraues Sofa	Sofá Gris Claro	Sofá Gris Claro	Sofá Gris Claro
block	cyan_couch	Cyan Couch	Cyan Sofa	Бирюзовый Диван	Divano ciano	青緑色の二人掛けソファー	Azurová pohovka	supa monsi len laso	Türkises Sofa	Sofá Cian	Sofá Cian	Sofá Cian
block	purple_couch	Purple Couch	Purple Sofa	Фиолетовый Диван	Divano viola	紫色の二人掛けソファー	Fialová pohovka	supa monsi len pi laso loje	Violettes Sofa	Sofá Morada	Sofá Púrpura	Sofá Púrpura
block	blue_couch	Blue Couch	Blue Sofa	Синий Диван	Divano blu	青色の二人掛けソファー	Modrá pohovka	supa monsi len pi laso telo	Blaues Sofa	Sofá Azul	Sofá Azul	Sofá Azul
block	brown_couch	Brown Couch	Brown Sofa	Коричневый Диван	Divano marrone	茶色の二人掛けソファー	Hnědá pohovka	supa monsi len pi kule ma	Braunes Sofa	Sofá Café	Sofá Marrón	Sofá Marrón
block	green_couch	Green Couch	Green Sofa	Зелёный Диван	Divano verde	緑色の二人掛けソファー	Zelená pohovka	supa monsi len pi laso kasi	Grünes Sofa	Sofá Verde	Sofá Verde	Sofá Verde
block	red_couch	Red Couch	Red Sofa	Красный Диван	Divano rosso	赤色の二人掛けソファー	Červená pohovka	supa monsi len loje	Rotes Sofa	Sofá Rojo	Sofá Rojo	Sofá Rojo
block	black_couch	Black Couch	Black Sofa	Чёрный Диван	Divano nero	黒色の二人掛けソファー	Černá pohovka	supa monsi len pimeja	Schwarzes Sofa	Sofá Negro	Sofá Negro	Sofá Negro
block	oak_blinds	Oak Blinds		Дубовые Жалюзи	Persiane di quercia	オークのブラインド	Dubové žaluzie		Eichenholzjalousie	Persianas de Roble	Persianas de Roble	Persianas de Roble
block	spruce_blinds	Spruce Blinds		Еловые Жалюзи	Persiane di abete	トウヒのブラインド	Smrkové žaluzie		Fichtenholzjalousie	Persianas de Abeto	Persianas de Abeto	Persianas de Abeto
block	birch_blinds	Birch Blinds		Берëзовые Жалюзи	Persiane di betulla	シラカバのブラインド	Březové žaluzie		Birkenholzjalousie	Persianas de Abedul	Persianas de Abedul	Persianas de Abedul
block	jungle_blinds	Jungle Blinds		Жалюзи из тропического дерева	Persiane della giungla	ジャングルのブラインド	Žaluzie z tropického dřeva		Tropenholzjalousie	Persianas Jungla	Persianas Jungla	Persianas Jungla
block	acacia_blinds	Acacia Blinds		Акациевые Жалюзи	Persiane di acacia	アカシアのブラインド	Akáciové žaluzie		Akazienholzjalousie	Persianas de Acacia	Persianas de Acacia	Persianas de Acacia
block	bamboo_blinds	Bamboo Blinds		Жалюзи из бамбука	Persiane di bambù		Bambusové žaluzie		Bambusjalousie	Persianas de Bambú	Persianas de Bambú	Persianas de Bambú
block	dark_oak_blinds	Dark Oak Blinds		Жалюзи из тëмного дуба	Persiane di quercia scura	ダークオークのブラインド	Žaluzie z tmavého dubu		Schwarzeichenholzjalousie	Persianas de Roble Oscuro	Persianas de Roble Oscuro	Persianas de Roble Oscuro
block	mangrove_blinds	Mangrove Blinds		Мангровые Жалюзи	Persiane di mangrovia		Kořenovníkové žaluzie		Mangrovenholzjalousie	Persianas de Mangle	Persianas de Mangle	Persianas de Mangle
block	cherry_blinds	Cherry Blinds		Вишнёвые Жалюзи	Persiane di ciliegio		Třešňové žaluzie		Kirschholzjalousie	Persianas de Cereza	Persianas de Cereza	Persianas de Cereza
block	crimson_blinds	Crimson Blinds		Багровые Жалюзи	Persiane cremisi	真紅のブラインド	Karmínové žaluzie		Karmesinjalousie	Persianas Carmesí	Persianas Carmesí	Persianas Carmesí
block	warped_blinds	Warped Blinds		Искажëнные Жалюзи	Persiane distorte	歪んだブラインド	Přízračné žaluzie		Wirrjalousie	Persianas Distorsionadas	Persianas Distorsionadas	Persianas Distorsionadas
block	stone_blinds	Stone Blinds		Каменные Жалюзи	Persiane di pietra	石のブラインド	Kamenné žaluzie		Steinjalousie	Persianas de Piedra	Persianas de Piedra	Persianas de Piedra
block	quartz_blinds	Quartz Blinds		Кварцевые Жалюзи	Persiane di quarzo		Křemenné žaluzie		Quarzjalousie	Persianas de Cuarzo	Persianas de Cuarzo	Persianas de Cuarzo
block	deepslate_blinds	Deepslate Blinds		Глубинносланцевые Жалюзи	Persiane di ardesia profonda		Břidlicové žaluzie		Tiefenschieferjalousie	Persianas de Pizarra Abismal	Persianas de Pizarra Profunda	Persianas de Pizarra Profunda
block	iron_blinds	Iron Blinds		Железные Жалюзи	Persiane di ferro		Železné žaluzie		Eisenjalousie	Persianas de Hierro	Persianas de Hierro	Persianas de Hierro
block	copper_blinds	Copper Blinds		Медные Жалюзи	Persiane di rame		Měděné žaluzie		Kupferjalousie	Persianas de Cobre	Persianas de Cobre	Persianas de Cobre
block	gold_blinds	Golden Blinds		Золотые Жалюзи	Persiane d'oro		Zlaté žaluzie		Goldjalousie	Persianas de Oro	Persianas de Oro	Persianas de Oro
block	diamond_blinds	Diamond Blinds		Алмазные Жалюзи	Persiane di diamante		Diamantové žaluzie		Diamantjalousie	Persianas de Diamante	Persianas de Diamante	Persianas de Diamante
block	emerald_blinds	Emerald Blinds		Изумрудные Жалюзи	Persiane di smeraldo		Smaragdové žaluzie		Smaragdjalousie	Persianas de Esmeralda	Persianas de Esmeralda	Persianas de Esmeralda
block	netherite_blinds	Netherite Blinds		Незеритовые Жалюзи	Persiane di netherite		Netheritové žaluzie		Netheritjalousie	Persianas de Netherita	Persianas de Netherita	Persianas de Netherita
block	oak_kitchen_cabinet	Oak Kitchen Cabinet		Дубовый Кухонный Ящик	Armadio da cucina di quercia		Dubová kuchyňská skříň		Eichenholzküchenschrank	Gabinete de Cocina de Roble	Gabinete de Cocina de Roble	Gabinete de Cocina de Roble
block	spruce_kitchen_cabinet	Spruce Kitchen Cabinet		Еловый Кухонный Ящик	Armadio da cucina di abete		Smrková kuchyňská skříň		Fichtenholzküchenschrank	Gabinete de Cocina de Abeto	Gabinete de Cocina de Abeto	Gabinete de Cocina de Abeto
block	birch_kitchen_cabinet	Birch Kitchen Cabinet		Берëзовый Кухонный Ящик	Armadio da cucina di betulla		Březová kuchyňská skříň		Birkenholzküchenschrank	Gabinete de Cocina de Abedul	Gabinete de Cocina de Abedul	Gabinete de Cocina de Abedul
block	jungle_kitchen_cabinet	Jungle Kitchen Cabinet		Кухонный Ящик из тропического дерева	Armadio da cucina della giungla		Kuchyňská skříň z tropcikého dřeva		Tropenholzküchenschrank	Gabinete de Cocina Jungla	Gabinete de Cocina Jungla	Gabinete de Cocina Jungla
block	acacia_kitchen_cabinet	Acacia Kitchen Cabinet		Акациевый Кухонный Ящик	Armadio da cucina di acacia		Akáciová kuchyňská skříň		Akazienholzküchenschrank	Gabinete de Cocina de Acacia	Gabinete de Cocina de Acacia	Gabinete de Cocina de Acacia
block	bamboo_kitchen_cabinet	Bamboo Kitchen Cabinet		Кухонный Ящик из бамбука	Armadio da cucina di bambù		Bambusová kuchyňská skříň		Bambusküchenschrank	Gabinete de Cocina de Bambú	Gabinete de Cocina de Bambú	Gabinete de Cocina de Bambú
block	dark_oak_kitchen_cabinet	Dark Oak Kitchen Cabinet		Кухонный Ящик из тëмного дуба	Armadio da cucina di quercia scura		Kuchyňská skříň z tmavého dubu		Schwarzeichenholzküchenschrank	Gabinete de Cocina de Roble Oscuro	Gabinete de Cocina de Roble Oscuro	Gabinete de Cocina de Roble Oscuro
block	mangrove_kitchen_cabinet	Mangrove Kitchen Cabinet		Мангровый Кухонный Ящик	Armadio da cucina di mangrovia		Kořenovníková kuchyňská skříň		Mangrovenholzküchenschrank	Gabinete de Cocina de Mangle	Gabinete de Cocina de Mangle	Gabinete de Cocina de Mangle
block	cherry_kitchen_cabinet	Cherry Kitchen Cabinet		Вишнёвый Кухонный Ящик	Armadio da cucina di ciliegio		Třešňová kuchyňská skříň		Kirschholzküchenschrank	Gabinete de Cocina de Cereza	Gabinete de Cocina de Cereza	Gabinete de Cocina de Cereza
block	crimson_kitchen_cabinet	Crimson Kitchen Cabinet		Багровый Кухонный Ящик	Armadio da cucina cremisi		Karmínová kuchyňská skříň		Karmesinküchenschrank	Gabinete de Cocina Carmesí	Gabinete de Cocina Carmesí	Gabinete de Cocina Carmesí
block	warped_kitchen_cabinet	Warped Kitchen Cabinet		Искажëнный Кухонный Ящик	Armadio da cucina distorto		Přízračná kuchyňská skříň		Wirrküchenschrank	Gabinete de Cocina Distorsionado	Gabinete de Cocina Distorsionado	Gabinete de Cocina Distorsionado
block	stone_kitchen_cabinet	Stone Kitchen Cabinet		Каменный Кухонный Ящик	Armadio da cucina di pietra		Kamenná kuchyňská skříň		Steinküchenschrank	Gabinete de Cocina de Piedra	Gabinete de Cocina de Piedra	Gabinete de Cocina de Piedra
block	quartz_kitchen_cabinet	Quartz Kitchen Cabinet		Кварцевый Кухонный Ящик	Armadio da cucina di quarzo		Křemenná kuchyňská skříň		Quarzküchenschrank	Gabinete de Cocina de Cuarzo	Gabinete de Cocina de Cuarzo	Gabinete de Cocina de Cuarzo
block	deepslate_kitchen_cabinet	Deepslate Kitchen Cabinet		Глубинносланцевый Кухонный Ящик	Armadio da cucina di ardesia profonda		Břidlicová kuchyňská skříň		Tiefenschieferküchenschrank	Gabinete de Cocina de Pizarra Abismal	Gabinete de Cocina de Pizarra Profunda	Gabinete de Cocina de Pizarra Profunda
block	iron_kitchen_cabinet	Iron Kitchen Cabinet		Железный Кухонный Ящик	Armadio da cucina di ferro		Železná kuchyňská skříň		Eisenküchenschrank	Gabinete de Cocina de Hierro	Gabinete de Cocina de Hierro	Gabinete de Cocina de Hierro
block	copper_kitchen_cabinet	Copper Kitchen Cabinet		Медный Кухонный Ящик	Armadio da cucina di rame		Měděná kuchyňská skříň		Kupferküchenschrank	Gabinete de Cocina de Cobre	Gabinete de Cocina de Cobre	Gabinete de Cocina de Cobre
block	gold_kitchen_cabinet	Golden Kitchen Cabinet		Золотой Кухонный Ящик	Armadio da cucina d'oro		Zlatá kuchyňská skříň		Goldküchenschrank	Gabinete de Cocina de Oro	Gabinete de Cocina de Oro	Gabinete de Cocina de Oro
block	diamond_kitchen_cabinet	Diamond Kitchen Cabinet		Алмазный Кухонный Ящик	Armadio da cucina di diamante		Diamantová kuchyňská skříň		Diamantküchenschrank	Gabinete de Cocina de Diamante	Gabinete de Cocina de Diamante	Gabinete de Cocina de Diamante
block	emerald_kitchen_cabinet	Emerald Kitchen Cabinet		Изумрудный Кухонный Ящик	Armadio da cucina di smeraldo		Smaragdová kuchyňská skříň		Smaragdküchenschrank	Gabinete de Cocina de Esmeralda	Gabinete de Cocina de Esmeralda	Gabinete de Cocina de Esmeralda
block	netherite_kitchen_cabinet	Netherite Kitchen Cabinet		Незеритовый Кухонный Ящик	Armadio da cucina di netherite		Netheritová kuchyňská skříň		Netheritküchenschrank	Gabinete de Cocina de Netherita	Gabinete de Cocina de Netherita	Gabinete de Cocina de Netherita
block	oak_sink	Oak Sink		Дубовая Раковина	Lavandino di quercia		Dubové umyvadlo	ilo telo pi kasi kili	Eichenholzwaschbecken	Fregadero de Roble	Fregadero de Roble	Lavabo de Roble
block	spruce_sink	Spruce Sink		Еловая Раковина	Lavandino di abete		Smrkové umyvadlo	ilo telo pi kasi lete	Fichtenholzwaschbecken	Fregadero de Abeto	Fregadero de Abeto	Lavabo de Abeto
block	birch_sink	Birch Sink		Берëзовая Раковина	Lavandino di betulla		Březové umyvadlo	ilo telo pi kasi walo	Birkenholzwaschbecken	Fregadero de Abedul	Fregadero de Abedul	Lavabo de Abedul
block	jungle_sink	Jungle Sink		Раковина из тропического дерева	Lavandino della giungla		Umyvadlo z tropického dřeva	ilo telo pi kasi suli	Tropenholzwaschbecken	Fregadero Jungla	Fregadero Jungla	Lavabo Jungla
block	acacia_sink	Acacia Sink		Акациевая Раковина	Lavandino di acacia		Akáciové umyvadlo	ilo telo pi kasi seli	Akazienholzwaschbecken	Fregadero de Acacia	Fregadero de Acacia	Lavabo de Acacia
block	bamboo_sink	Bamboo Sink		Раковина из бамбука	Lavandino di bambù		Bambusové umyvadlo	ilo telo pi kasi palisa	Bambuswaschbecken	Fregadero de Bambú	Fregadero de Bambú	Lavabo de Bambú
block	dark_oak_sink	Dark Oak Sink		Раковина из тëмного дуба	Lavandino di quercia scura		Umyvadlo z tmavého dubu	ilo telo pi kasi pimeja	Schwarzeichenholzwaschbecken	Fregadero de Roble Oscuro	Fregadero de Roble Oscuro	Lavabo de Roble Oscuro
block	mangrove_sink	Mangrove Sink		Мангровая Раковина	Lavandino di mangrovia		Kořenovníkové umyvadlo	ilo telo pi kasi telo	Mangrovenholzwaschbecken	Fregadero de Mangle	Fregadero de Mangle	Lavabo de Mangle
block	cherry_sink	Cherry Sink		Вишнёвая Раковина	Lavandino di ciliegio		Třešňové umyvadlo	ilo telo pi kasi suwi	Kirschholzwaschbecken	Fregadero de Cereza	Fregadero de Cereza	Lavabo de Cereza
block	crimson_sink	Crimson Sink		Багровая Раковина	Lavandino cremisi		Karmínové umyvadlo	ilo telo pi soko loje	Karmesinwaschbecken	Fregadero Carmesí	Fregadero Carmesí	Lavabo Carmesí
block	warped_sink	Warped Sink		Искажëнная Раковина	Lavandino distorto		Přízračné umyvadlo	ilo telo pi soko laso	Wirrwaschbecken	Fregadero Distorsionado	Fregadero Distorsionado	Lavabo Distorsionado
block	stone_sink	Stone Sink		Каменная Раковина	Lavandino di pietra		Kamenné umyvadlo	ilo telo kiwen	Steinwaschbecken	Fregadero de Piedra	Fregadero de Piedra	Lavabo de Piedra
block	quartz_sink	Quartz Sink		Кварцевая Раковина	Lavandino di quarzo		Křemenné umyvadlo	ilo telo pi kiwen walo seli	Quarzwaschbecken	Fregadero de Cuarzo	Fregadero de Cuarzo	Lavabo de Cuarzo
block	deepslate_sink	Deepslate Sink		Глубинносланцевая Раковина	Lavandino di ardesia profonda		Břidlicové umyvadlo	ilo telo pi kiwen anpa	Tiefenschieferwaschbecken	Fregadero de Pizarra Abismal	Fregadero de Pizarra Profunda	Lavabo de Pizarra Profunda
block	iron_sink	Iron Sink		Железная Раковина	Lavandino di ferro		Železné umyvadlo	ilo telo pi kiwen walo	Eisenwaschbecken	Fregadero de Hierro	Fregadero de Hierro	Lavabo de Hierro
block	copper_sink	Copper Sink		Медная Раковина	Lavandino di rame		Měděné umyvadlo	ilo telo pi kiwen ante	Kupferwaschbecken	Fregadero de Cobre	Fregadero de Cobre	Lavabo de Cobre
block	gold_sink	Golden Sink		Золотая Раковина	Lavandino d'oro		Zlaté umyvadlo	ilo telo pi kiwen jelo	Goldwaschbecken	Fregadero de Oro	Fregadero de Oro	Lavabo de Oro
block	diamond_sink	Diamond Sink		Алмазная Раковина	Lavandino di diamante		Diamantové umyvadlo	ilo telo pi kiwen laso	Diamantwaschbecken	Fregadero de Diamante	Fregadero de Diamante	Lavabo de Diamante
block	emerald_sink	Emerald Sink		Изумрудная Раковина	Lavandino di smeraldo		Smaragdové umyvadlo	ilo telo pi kiwen esun	Smaragdwaschbecken	Fregadero de Esmeralda	Fregadero de Esmeralda	Lavabo de Esmeralda
block	netherite_sink	Netherite Sink		Незеритовая Раковина	Lavandino di netherite		Netheritové umyvadlo	ilo telo pi mani Netherite	Netheritwaschbecken	Fregadero de Netherita	Fregadero de Netherita	Lavabo de Netherita
block	oak_toilet	Oak Toilet		Дубовый Унитаз	Gabinetto di quercia		Dubový záchod		Eichenholztoilette	Baño de Roble	Inodoro de Roble	Retrete de Roble
block	spruce_toilet	Spruce Toilet		Еловый Унитаз	Gabinetto di abete		Smrkový záchod		Fichtenholztoilette	Baño de Abeto	Inodoro de Abeto	Retrete de Abeto
block	birch_toilet	Birch Toilet		Берëзовый Унитаз	Gabinetto di betulla		Březový záchod		Birkenholztoilette	Baño de Abedul	Inodoro de Abedul	Retrete de Abedul
block	jungle_toilet	Jungle Toilet		Унитаз из тропического дерева	Gabinetto della giungla		Záchod z tropického dřeva		Tropenholztoilette	Baño Jungla	Inodoro Jungla	Retrete Jungla
block	acacia_toilet	Acacia Toilet		Акациевый Унитаз	Gabinetto di acacia		Akáciový záchod		Akazienholztoilette	Baño de Acacia	Inodoro de Acacia	Retrete de Acacia
block	bamboo_toilet	Bamboo Toilet		Унитаз из бамбука	Gabinetto di bambù		Bambusový záchod		Bambustoilette	Baño de Bambú	Inodoro de Bambú	Retrete de Bambú
block	dark_oak_toilet	Dark Oak Toilet		Унитаз из тëмного дуба	Gabinetto di quercia scura		Záchod z tmavého dubu		Schwarzeichentoilette	Baño de Roble Oscuro	Inodoro de Roble Oscuro	Retrete de Roble Oscuro
block	mangrove_toilet	Mangrove Toilet		Мангровый Унитаз	Gabinetto di mangrovia		Kořenovníkový záchod		Mangrovenholztoilette	Baño de Mangle	Inodoro de Mangle	Retrete de Mangle
block	cherry_toilet	Cherry Toilet		Вишнёвый Унитаз	Gabinetto di ciliegio		Třešňový záchod		Kirschholztoilette	Baño de Cereza	Inodoro de Cereza	Retrete de Cereza
block	crimson_toilet	Crimson Toilet		Багровый Унитаз	Gabinetto cremisi		Karmínový záchod		Karmesintoilette	Baño Carmesí	Inodoro Carmesí	Retrete Carmesí
block	warped_toilet	Warped Toilet		Искажëнный Унитаз	Gabinetto distorto		Přízračný záchod		Wirrtoilette	Baño Distorsionado	Inodoro Distorsionado	Retrete Distorsionado
block	stone_toilet	Stone Toilet		Каменный Унитаз	Gabinetto di pietra		Kamenný záchod		Steintoilette	Baño de Piedra	Inodoro de Piedra	Retrete de Piedra
block	quartz_toilet	Quartz Toilet		Кварцевый Унитаз	Gabinetto di quarzo		Křemenný záchod		Quarztoilette	Baño de Cuarzo	Inodoro de Cuarzo	Retrete de Cuarzo
block	deepslate_toilet	Deepslate Toilet		Глубинносланцевый Унитаз	Gabinetto di ardesia profonda		Břidlicový záchod		Tiefenschiefertoilette	Baño de Pizarra Abismal	Inodoro de Pizarra Profunda	Retrete de Pizarra Profunda
block	iron_toilet	Iron Toilet		Железный Унитаз	Gabinetto di ferro		Železný záchod		Eisentoilette	Baño de Hierro	Inodoro de Hierro	Retrete de Hierro
block	copper_toilet	Copper Toilet		Медный Унитаз	Gabinetto di rame		Měděný záchod		Kupfertoilette	Baño de Cobre	Inodoro de Cobre	Retrete de Cobre
block	gold_toilet	Golden Toilet		Золотой Унитаз	Gabinetto d'oro		Zlatý záchod		Goldtoilette	Baño de Oro	Inodoro de Oro	Retrete de Oro
block	diamond_toilet	Diamond Toilet		Алмазный Унитаз	Gabinetto di diamante		Diamantový záchod		Diamanttoilette	Baño de Diamante	Inodoro de Diamante	Retrete de Diamante
block	emerald_toilet	Emerald Toilet		Изумрудный Унитаз	Gabinetto di smeraldo		Smaragdový záchod		Smaragdtoilette	Baño de Esmeralda	Inodoro de Esmeralda	Retrete de Esmeralda
block	netherite_toilet	Netherite Toilet		Незеритовый Унитаз	Gabinetto di netherite		Netheritový záchod		Netherittoilette	Baño de Netherita	Inodoro de Netherita	Retrete de Netherita
block	oak_window_boards	Oak Window Boards		Дубовые Оконные доски	Pannello per finestre di quercia		Dubová okenní prkna		Eichenholzfensterbretter	Barricadas de Roble	Barricadas de Roble	Barricadas de Roble
block	spruce_window_boards	Spruce Window Boards		Еловые Оконные доски	Pannello per finestre di abete		Smrková okenní prkna		Fichtenholzfensterbretter	Barricadas de Abeto	Barricadas de Abeto	Barricadas de Abeto
block	birch_window_boards	Birch Window Boards		Берëзовые Оконные доски	Pannello per finestre di betulla		Březová okenní prkna		Birkenholzfensterbretter	Barricadas de Abedul	Barricadas de Abedul	Barricadas de Abedul
block	jungle_window_boards	Jungle Window Boards		Оконные доски из тропического дерева	Pannello per finestre della giungla		Okenní prkna z tropického dřeva		Tropenholzfensterbretter	Barricadas Jungla	Barricadas Jungla	Barricadas Jungla
block	acacia_window_boards	Acacia Window Boards		Акациевые Оконные доски	Pannello per finestre di acacia		Akáciová okenní prkna		Akazienholzfensterbretter	Barricadas de Acacia	Barricadas de Acacia	Barricadas de Acacia
block	bamboo_window_boards	Bamboo Window Boards		Оконные доски из бамбука	Pannello per finestre di bambù		Bambusová okenní prkna		Bambusfensterbretter	Barricadas de Bambú	Barricadas de Bambú	Barricadas de Bambú
